Stage	Colorectal Sidedness (Right,Left)	Year of Diagnosis	Age Group	Age-Adjusted Rate	Count	Population	Std Pop
1	Distal Colorectal Cancer	2000	0	0.0	0	1123953	3794901
1	Distal Colorectal Cancer	2000	1	0.0	0	4493645	15191619
1	Distal Colorectal Cancer	2000	2	0.0	0	6014762	19919840
1	Distal Colorectal Cancer	2000	3	0.0	0	5906367	20056779
1	Distal Colorectal Cancer	2000	4	0.0	1	5686059	19819518
1	Distal Colorectal Cancer	2000	5	0.1	8	5432644	18257225
1	Distal Colorectal Cancer	2000	6	0.4	22	5623783	17722067
1	Distal Colorectal Cancer	2000	7	1.0	58	6010662	19511370
1	Distal Colorectal Cancer	2000	8	1.8	115	6472872	22179956
1	Distal Colorectal Cancer	2000	9	3.8	239	6317668	22479229
1	Distal Colorectal Cancer	2000	10	8.0	449	5600622	19805793
1	Distal Colorectal Cancer	2000	11	16.2	794	4887550	17224359
1	Distal Colorectal Cancer	2000	12	23.9	872	3642175	13307234
1	Distal Colorectal Cancer	2000	13	37.1	1053	2835963	10654272
1	Distal Colorectal Cancer	2000	14	53.9	1314	2438122	9409940
1	Distal Colorectal Cancer	2000	15	61.9	1392	2250088	8725574
1	Distal Colorectal Cancer	2000	16	80.0	1531	1912863	7414559
1	Distal Colorectal Cancer	2000	17	81.1	1031	1271099	4900234
1	Distal Colorectal Cancer	2000	18	74.4	801	1075916	4259173
1	Distal Colorectal Cancer	2001	0	0.0	0	1173129	3794901
1	Distal Colorectal Cancer	2001	1	0.0	0	4461077	15191619
1	Distal Colorectal Cancer	2001	2	0.0	0	5921466	19919840
1	Distal Colorectal Cancer	2001	3	0.0	0	6039438	20056779
1	Distal Colorectal Cancer	2001	4	0.0	1	5724743	19819518
1	Distal Colorectal Cancer	2001	5	0.2	11	5625901	18257225
1	Distal Colorectal Cancer	2001	6	0.4	20	5510211	17722067
1	Distal Colorectal Cancer	2001	7	0.9	52	6053687	19511370
1	Distal Colorectal Cancer	2001	8	1.7	111	6381699	22179956
1	Distal Colorectal Cancer	2001	9	3.8	246	6406429	22479229
1	Distal Colorectal Cancer	2001	10	7.8	449	5741721	19805793
1	Distal Colorectal Cancer	2001	11	15.9	815	5125958	17224359
1	Distal Colorectal Cancer	2001	12	24.6	928	3770621	13307234
1	Distal Colorectal Cancer	2001	13	35.3	1028	2914101	10654272
1	Distal Colorectal Cancer	2001	14	53.2	1303	2448484	9409940
1	Distal Colorectal Cancer	2001	15	62.5	1401	2241129	8725574
1	Distal Colorectal Cancer	2001	16	75.0	1437	1915556	7414559
1	Distal Colorectal Cancer	2001	17	74.8	986	1318613	4900234
1	Distal Colorectal Cancer	2001	18	69.8	763	1093854	4259173
1	Distal Colorectal Cancer	2002	0	0.0	0	1155177	3794901
1	Distal Colorectal Cancer	2002	1	0.0	0	4501200	15191619
1	Distal Colorectal Cancer	2002	2	0.0	1	5817114	19919840
1	Distal Colorectal Cancer	2002	3	0.0	0	6150915	20056779
1	Distal Colorectal Cancer	2002	4	0.0	2	5770911	19819518
1	Distal Colorectal Cancer	2002	5	0.1	6	5762504	18257225
1	Distal Colorectal Cancer	2002	6	0.3	18	5471944	17722067
1	Distal Colorectal Cancer	2002	7	0.9	55	6047363	19511370
1	Distal Colorectal Cancer	2002	8	2.0	125	6261179	22179956
1	Distal Colorectal Cancer	2002	9	3.8	246	6439153	22479229
1	Distal Colorectal Cancer	2002	10	7.4	435	5903564	19805793
1	Distal Colorectal Cancer	2002	11	17.7	912	5140748	17224359
1	Distal Colorectal Cancer	2002	12	24.8	1015	4094161	13307234
1	Distal Colorectal Cancer	2002	13	34.4	1042	3027382	10654272
1	Distal Colorectal Cancer	2002	14	50.3	1243	2470774	9409940
1	Distal Colorectal Cancer	2002	15	60.4	1344	2223927	8725574
1	Distal Colorectal Cancer	2002	16	72.9	1395	1914270	7414559
1	Distal Colorectal Cancer	2002	17	73.4	1002	1364730	4900234
1	Distal Colorectal Cancer	2002	18	70.1	780	1112959	4259173
1	Distal Colorectal Cancer	2003	0	0.0	0	1167353	3794901
1	Distal Colorectal Cancer	2003	1	0.0	0	4538931	15191619
1	Distal Colorectal Cancer	2003	2	0.0	0	5723028	19919840
1	Distal Colorectal Cancer	2003	3	0.0	0	6218900	20056779
1	Distal Colorectal Cancer	2003	4	0.1	4	5836843	19819518
1	Distal Colorectal Cancer	2003	5	0.2	14	5843252	18257225
1	Distal Colorectal Cancer	2003	6	0.4	23	5486864	17722067
1	Distal Colorectal Cancer	2003	7	0.9	52	5983870	19511370
1	Distal Colorectal Cancer	2003	8	2.0	125	6145730	22179956
1	Distal Colorectal Cancer	2003	9	3.6	234	6454280	22479229
1	Distal Colorectal Cancer	2003	10	7.6	458	6040156	19805793
1	Distal Colorectal Cancer	2003	11	17.1	894	5240686	17224359
1	Distal Colorectal Cancer	2003	12	23.3	998	4283589	13307234
1	Distal Colorectal Cancer	2003	13	33.9	1085	3198860	10654272
1	Distal Colorectal Cancer	2003	14	49.7	1254	2524001	9409940
1	Distal Colorectal Cancer	2003	15	57.5	1269	2206943	8725574
1	Distal Colorectal Cancer	2003	16	68.0	1301	1914009	7414559
1	Distal Colorectal Cancer	2003	17	73.1	1022	1397935	4900234
1	Distal Colorectal Cancer	2003	18	71.9	821	1142624	4259173
1	Distal Colorectal Cancer	2004	0	0.1	1	1172686	3794901
1	Distal Colorectal Cancer	2004	1	0.0	0	4583485	15191619
1	Distal Colorectal Cancer	2004	2	0.0	0	5643903	19919840
1	Distal Colorectal Cancer	2004	3	0.0	0	6231354	20056779
1	Distal Colorectal Cancer	2004	4	0.1	3	5936630	19819518
1	Distal Colorectal Cancer	2004	5	0.2	14	5909181	18257225
1	Distal Colorectal Cancer	2004	6	0.4	24	5573085	17722067
1	Distal Colorectal Cancer	2004	7	0.9	55	5884695	19511370
1	Distal Colorectal Cancer	2004	8	1.9	115	6049887	22179956
1	Distal Colorectal Cancer	2004	9	3.4	220	6477140	22479229
1	Distal Colorectal Cancer	2004	10	7.7	475	6131734	19805793
1	Distal Colorectal Cancer	2004	11	18.3	981	5368022	17224359
1	Distal Colorectal Cancer	2004	12	22.3	1001	4494532	13307234
1	Distal Colorectal Cancer	2004	13	31.8	1061	3332349	10654272
1	Distal Colorectal Cancer	2004	14	47.1	1216	2583068	9409940
1	Distal Colorectal Cancer	2004	15	54.9	1201	2189003	8725574
1	Distal Colorectal Cancer	2004	16	67.5	1281	1898091	7414559
1	Distal Colorectal Cancer	2004	17	71.1	1018	1432237	4900234
1	Distal Colorectal Cancer	2004	18	64.7	753	1164503	4259173
1	Distal Colorectal Cancer	2005	0	0.0	0	1136051	3794901
1	Distal Colorectal Cancer	2005	1	0.0	0	4486608	15191619
1	Distal Colorectal Cancer	2005	2	0.0	0	5429324	19919840
1	Distal Colorectal Cancer	2005	3	0.0	0	6007382	20056779
1	Distal Colorectal Cancer	2005	4	0.0	2	5889330	19819518
1	Distal Colorectal Cancer	2005	5	0.1	6	5736685	18257225
1	Distal Colorectal Cancer	2005	6	0.4	20	5527856	17722067
1	Distal Colorectal Cancer	2005	7	0.9	52	5591393	19511370
1	Distal Colorectal Cancer	2005	8	1.8	106	5883370	22179956
1	Distal Colorectal Cancer	2005	9	4.2	261	6249039	22479229
1	Distal Colorectal Cancer	2005	10	7.1	433	6057136	19805793
1	Distal Colorectal Cancer	2005	11	18.0	962	5343760	17224359
1	Distal Colorectal Cancer	2005	12	22.9	1053	4600833	13307234
1	Distal Colorectal Cancer	2005	13	31.4	1051	3350764	10654272
1	Distal Colorectal Cancer	2005	14	43.3	1109	2561897	9409940
1	Distal Colorectal Cancer	2005	15	54.0	1147	2124936	8725574
1	Distal Colorectal Cancer	2005	16	61.0	1123	1842131	7414559
1	Distal Colorectal Cancer	2005	17	64.4	911	1415603	4900234
1	Distal Colorectal Cancer	2005	18	57.4	677	1180301	4259173
1	Distal Colorectal Cancer	2006	0	0.0	0	1160852	3794901
1	Distal Colorectal Cancer	2006	1	0.0	0	4583974	15191619
1	Distal Colorectal Cancer	2006	2	0.0	0	5572891	19919840
1	Distal Colorectal Cancer	2006	3	0.0	0	6086664	20056779
1	Distal Colorectal Cancer	2006	4	0.0	2	6154466	19819518
1	Distal Colorectal Cancer	2006	5	0.2	12	5890891	18257225
1	Distal Colorectal Cancer	2006	6	0.4	22	5818474	17722067
1	Distal Colorectal Cancer	2006	7	1.2	65	5580486	19511370
1	Distal Colorectal Cancer	2006	8	1.7	100	6044427	22179956
1	Distal Colorectal Cancer	2006	9	4.4	279	6297825	22479229
1	Distal Colorectal Cancer	2006	10	8.1	506	6285693	19805793
1	Distal Colorectal Cancer	2006	11	18.1	1016	5623573	17224359
1	Distal Colorectal Cancer	2006	12	21.0	1037	4946510	13307234
1	Distal Colorectal Cancer	2006	13	28.9	1030	3559967	10654272
1	Distal Colorectal Cancer	2006	14	45.4	1226	2703241	9409940
1	Distal Colorectal Cancer	2006	15	53.4	1171	2192274	8725574
1	Distal Colorectal Cancer	2006	16	59.3	1118	1885792	7414559
1	Distal Colorectal Cancer	2006	17	64.9	945	1455580	4900234
1	Distal Colorectal Cancer	2006	18	56.1	705	1255977	4259173
1	Distal Colorectal Cancer	2007	0	0.0	0	1196660	3794901
1	Distal Colorectal Cancer	2007	1	0.0	0	4594421	15191619
1	Distal Colorectal Cancer	2007	2	0.0	0	5597032	19919840
1	Distal Colorectal Cancer	2007	3	0.0	0	6014342	20056779
1	Distal Colorectal Cancer	2007	4	0.1	4	6248052	19819518
1	Distal Colorectal Cancer	2007	5	0.2	9	5901284	18257225
1	Distal Colorectal Cancer	2007	6	0.4	26	5922782	17722067
1	Distal Colorectal Cancer	2007	7	0.8	45	5536657	19511370
1	Distal Colorectal Cancer	2007	8	1.8	111	6031588	22179956
1	Distal Colorectal Cancer	2007	9	4.2	260	6174095	22479229
1	Distal Colorectal Cancer	2007	10	8.0	508	6312614	19805793
1	Distal Colorectal Cancer	2007	11	19.3	1116	5783821	17224359
1	Distal Colorectal Cancer	2007	12	22.9	1135	4958293	13307234
1	Distal Colorectal Cancer	2007	13	29.6	1147	3871309	10654272
1	Distal Colorectal Cancer	2007	14	44.3	1246	2810970	9409940
1	Distal Colorectal Cancer	2007	15	52.9	1171	2213562	8725574
1	Distal Colorectal Cancer	2007	16	58.6	1099	1875483	7414559
1	Distal Colorectal Cancer	2007	17	59.5	870	1461775	4900234
1	Distal Colorectal Cancer	2007	18	59.6	778	1305936	4259173
1	Distal Colorectal Cancer	2008	0	0.0	0	1195094	3794901
1	Distal Colorectal Cancer	2008	1	0.0	0	4637301	15191619
1	Distal Colorectal Cancer	2008	2	0.0	0	5656971	19919840
1	Distal Colorectal Cancer	2008	3	0.0	0	5958739	20056779
1	Distal Colorectal Cancer	2008	4	0.1	4	6304058	19819518
1	Distal Colorectal Cancer	2008	5	0.2	14	5936553	18257225
1	Distal Colorectal Cancer	2008	6	0.5	32	6016049	17722067
1	Distal Colorectal Cancer	2008	7	0.9	49	5570024	19511370
1	Distal Colorectal Cancer	2008	8	2.4	142	5979214	22179956
1	Distal Colorectal Cancer	2008	9	4.4	266	6066838	22479229
1	Distal Colorectal Cancer	2008	10	7.6	484	6327512	19805793
1	Distal Colorectal Cancer	2008	11	19.6	1164	5925371	17224359
1	Distal Colorectal Cancer	2008	12	21.4	1085	5065472	13307234
1	Distal Colorectal Cancer	2008	13	28.0	1134	4055528	10654272
1	Distal Colorectal Cancer	2008	14	39.6	1179	2977431	9409940
1	Distal Colorectal Cancer	2008	15	47.0	1064	2262028	8725574
1	Distal Colorectal Cancer	2008	16	56.7	1058	1864482	7414559
1	Distal Colorectal Cancer	2008	17	60.6	889	1467035	4900234
1	Distal Colorectal Cancer	2008	18	52.6	712	1353083	4259173
1	Distal Colorectal Cancer	2009	0	0.0	0	1146548	3794901
1	Distal Colorectal Cancer	2009	1	0.0	0	4664913	15191619
1	Distal Colorectal Cancer	2009	2	0.0	0	5739367	19919840
1	Distal Colorectal Cancer	2009	3	0.0	0	5925524	20056779
1	Distal Colorectal Cancer	2009	4	0.1	4	6310686	19819518
1	Distal Colorectal Cancer	2009	5	0.3	16	6010909	18257225
1	Distal Colorectal Cancer	2009	6	0.7	41	6059001	17722067
1	Distal Colorectal Cancer	2009	7	1.2	70	5662291	19511370
1	Distal Colorectal Cancer	2009	8	2.1	124	5891266	22179956
1	Distal Colorectal Cancer	2009	9	4.4	264	5973354	22479229
1	Distal Colorectal Cancer	2009	10	8.5	543	6352974	19805793
1	Distal Colorectal Cancer	2009	11	20.0	1208	6026377	17224359
1	Distal Colorectal Cancer	2009	12	22.5	1169	5202748	13307234
1	Distal Colorectal Cancer	2009	13	25.9	1107	4273752	10654272
1	Distal Colorectal Cancer	2009	14	38.3	1192	3114864	9409940
1	Distal Colorectal Cancer	2009	15	44.3	1028	2321944	8725574
1	Distal Colorectal Cancer	2009	16	50.6	940	1858583	7414559
1	Distal Colorectal Cancer	2009	17	51.7	758	1465380	4900234
1	Distal Colorectal Cancer	2009	18	50.2	704	1402232	4259173
1	Distal Colorectal Cancer	2010	0	0.0	0	1133096	3794901
1	Distal Colorectal Cancer	2010	1	0.0	0	4657004	15191619
1	Distal Colorectal Cancer	2010	2	0.0	0	5796285	19919840
1	Distal Colorectal Cancer	2010	3	0.0	0	5915019	20056779
1	Distal Colorectal Cancer	2010	4	0.0	2	6255772	19819518
1	Distal Colorectal Cancer	2010	5	0.1	9	6113218	18257225
1	Distal Colorectal Cancer	2010	6	0.5	33	6059938	17722067
1	Distal Colorectal Cancer	2010	7	1.2	71	5782020	19511370
1	Distal Colorectal Cancer	2010	8	2.0	114	5768546	22179956
1	Distal Colorectal Cancer	2010	9	4.7	283	5971942	22479229
1	Distal Colorectal Cancer	2010	10	7.8	491	6304576	19805793
1	Distal Colorectal Cancer	2010	11	19.4	1191	6133641	17224359
1	Distal Colorectal Cancer	2010	12	20.2	1083	5351059	13307234
1	Distal Colorectal Cancer	2010	13	25.4	1144	4511342	10654272
1	Distal Colorectal Cancer	2010	14	35.3	1145	3239597	9409940
1	Distal Colorectal Cancer	2010	15	43.2	1028	2378879	8725574
1	Distal Colorectal Cancer	2010	16	44.2	824	1864112	7414559
1	Distal Colorectal Cancer	2010	17	47.8	704	1473432	4900234
1	Distal Colorectal Cancer	2010	18	42.2	612	1451061	4259173
1	Distal Colorectal Cancer	2011	0	0.0	0	1143721	3794901
1	Distal Colorectal Cancer	2011	1	0.0	0	4637626	15191619
1	Distal Colorectal Cancer	2011	2	0.0	0	5803527	19919840
1	Distal Colorectal Cancer	2011	3	0.0	0	5906423	20056779
1	Distal Colorectal Cancer	2011	4	0.1	5	6147140	19819518
1	Distal Colorectal Cancer	2011	5	0.1	9	6278343	18257225
1	Distal Colorectal Cancer	2011	6	0.6	35	6100594	17722067
1	Distal Colorectal Cancer	2011	7	0.9	54	5904792	19511370
1	Distal Colorectal Cancer	2011	8	2.0	114	5649994	22179956
1	Distal Colorectal Cancer	2011	9	4.0	241	6014260	22479229
1	Distal Colorectal Cancer	2011	10	8.1	503	6199093	19805793
1	Distal Colorectal Cancer	2011	11	18.4	1139	6197603	17224359
1	Distal Colorectal Cancer	2011	12	17.8	979	5490930	13307234
1	Distal Colorectal Cancer	2011	13	23.2	1096	4725529	10654272
1	Distal Colorectal Cancer	2011	14	33.7	1133	3357206	9409940
1	Distal Colorectal Cancer	2011	15	39.5	970	2453900	8725574
1	Distal Colorectal Cancer	2011	16	45.2	850	1882410	7414559
1	Distal Colorectal Cancer	2011	17	46.4	686	1478784	4900234
1	Distal Colorectal Cancer	2011	18	43.3	646	1492601	4259173
1	Distal Colorectal Cancer	2012	0	0.0	0	1125580	3794901
1	Distal Colorectal Cancer	2012	1	0.0	0	4608080	15191619
1	Distal Colorectal Cancer	2012	2	0.0	0	5847889	19919840
1	Distal Colorectal Cancer	2012	3	0.0	1	5874869	20056779
1	Distal Colorectal Cancer	2012	4	0.1	4	6060994	19819518
1	Distal Colorectal Cancer	2012	5	0.2	13	6408605	18257225
1	Distal Colorectal Cancer	2012	6	0.6	35	6127510	17722067
1	Distal Colorectal Cancer	2012	7	1.2	71	6016053	19511370
1	Distal Colorectal Cancer	2012	8	2.0	114	5630605	22179956
1	Distal Colorectal Cancer	2012	9	4.5	269	6014087	22479229
1	Distal Colorectal Cancer	2012	10	7.6	463	6094314	19805793
1	Distal Colorectal Cancer	2012	11	19.5	1212	6215561	17224359
1	Distal Colorectal Cancer	2012	12	18.8	1061	5643839	13307234
1	Distal Colorectal Cancer	2012	13	22.5	1064	4739343	10654272
1	Distal Colorectal Cancer	2012	14	31.9	1166	3650502	9409940
1	Distal Colorectal Cancer	2012	15	35.7	915	2559558	8725574
1	Distal Colorectal Cancer	2012	16	42.3	808	1908761	7414559
1	Distal Colorectal Cancer	2012	17	45.0	666	1480034	4900234
1	Distal Colorectal Cancer	2012	18	39.7	610	1537597	4259173
1	Distal Colorectal Cancer	2013	0	0.0	0	1126675	3794901
1	Distal Colorectal Cancer	2013	1	0.0	0	4565554	15191619
1	Distal Colorectal Cancer	2013	2	0.0	0	5879676	19919840
1	Distal Colorectal Cancer	2013	3	0.0	1	5861317	20056779
1	Distal Colorectal Cancer	2013	4	0.0	2	5993951	19819518
1	Distal Colorectal Cancer	2013	5	0.2	12	6473639	18257225
1	Distal Colorectal Cancer	2013	6	0.5	32	6185941	17722067
1	Distal Colorectal Cancer	2013	7	1.1	66	6117944	19511370
1	Distal Colorectal Cancer	2013	8	1.5	84	5664590	22179956
1	Distal Colorectal Cancer	2013	9	3.9	234	5966637	22479229
1	Distal Colorectal Cancer	2013	10	7.6	453	5991529	19805793
1	Distal Colorectal Cancer	2013	11	18.0	1120	6226744	17224359
1	Distal Colorectal Cancer	2013	12	18.4	1061	5764512	13307234
1	Distal Colorectal Cancer	2013	13	22.0	1064	4831089	10654272
1	Distal Colorectal Cancer	2013	14	29.7	1137	3824462	9409940
1	Distal Colorectal Cancer	2013	15	34.1	926	2714071	8725574
1	Distal Colorectal Cancer	2013	16	38.2	747	1957895	7414559
1	Distal Colorectal Cancer	2013	17	42.3	625	1478534	4900234
1	Distal Colorectal Cancer	2013	18	37.5	590	1572939	4259173
1	Distal Colorectal Cancer	2014	0	0.0	0	1127848	3794901
1	Distal Colorectal Cancer	2014	1	0.0	0	4563759	15191619
1	Distal Colorectal Cancer	2014	2	0.0	0	5859917	19919840
1	Distal Colorectal Cancer	2014	3	0.0	0	5860705	20056779
1	Distal Colorectal Cancer	2014	4	0.1	7	5941025	19819518
1	Distal Colorectal Cancer	2014	5	0.2	14	6496974	18257225
1	Distal Colorectal Cancer	2014	6	0.4	28	6311163	17722067
1	Distal Colorectal Cancer	2014	7	1.2	72	6191431	19511370
1	Distal Colorectal Cancer	2014	8	2.5	146	5736799	22179956
1	Distal Colorectal Cancer	2014	9	4.1	241	5881834	22479229
1	Distal Colorectal Cancer	2014	10	7.5	444	5916489	19805793
1	Distal Colorectal Cancer	2014	11	20.7	1289	6235869	17224359
1	Distal Colorectal Cancer	2014	12	19.3	1132	5850304	13307234
1	Distal Colorectal Cancer	2014	13	23.0	1138	4955482	10654272
1	Distal Colorectal Cancer	2014	14	29.9	1199	4014338	9409940
1	Distal Colorectal Cancer	2014	15	31.3	888	2838658	8725574
1	Distal Colorectal Cancer	2014	16	37.3	754	2019235	7414559
1	Distal Colorectal Cancer	2014	17	39.5	584	1478454	4900234
1	Distal Colorectal Cancer	2014	18	33.4	537	1607353	4259173
2	Distal Colorectal Cancer	2000	0	0.0	0	1123953	3794901
2	Distal Colorectal Cancer	2000	1	0.0	0	4493645	15191619
2	Distal Colorectal Cancer	2000	2	0.0	0	6014762	19919840
2	Distal Colorectal Cancer	2000	3	0.0	0	5906367	20056779
2	Distal Colorectal Cancer	2000	4	0.1	5	5686059	19819518
2	Distal Colorectal Cancer	2000	5	0.1	8	5432644	18257225
2	Distal Colorectal Cancer	2000	6	0.4	24	5623783	17722067
2	Distal Colorectal Cancer	2000	7	1.1	65	6010662	19511370
2	Distal Colorectal Cancer	2000	8	1.8	117	6472872	22179956
2	Distal Colorectal Cancer	2000	9	3.6	228	6317668	22479229
2	Distal Colorectal Cancer	2000	10	6.9	385	5600622	19805793
2	Distal Colorectal Cancer	2000	11	12.2	595	4887550	17224359
2	Distal Colorectal Cancer	2000	12	17.8	647	3642175	13307234
2	Distal Colorectal Cancer	2000	13	30.5	865	2835963	10654272
2	Distal Colorectal Cancer	2000	14	39.1	953	2438122	9409940
2	Distal Colorectal Cancer	2000	15	50.7	1140	2250088	8725574
2	Distal Colorectal Cancer	2000	16	57.9	1108	1912863	7414559
2	Distal Colorectal Cancer	2000	17	63.2	803	1271099	4900234
2	Distal Colorectal Cancer	2000	18	58.5	629	1075916	4259173
2	Distal Colorectal Cancer	2001	0	0.0	0	1173129	3794901
2	Distal Colorectal Cancer	2001	1	0.0	0	4461077	15191619
2	Distal Colorectal Cancer	2001	2	0.0	0	5921466	19919840
2	Distal Colorectal Cancer	2001	3	0.0	0	6039438	20056779
2	Distal Colorectal Cancer	2001	4	0.1	5	5724743	19819518
2	Distal Colorectal Cancer	2001	5	0.1	4	5625901	18257225
2	Distal Colorectal Cancer	2001	6	0.4	24	5510211	17722067
2	Distal Colorectal Cancer	2001	7	1.0	58	6053687	19511370
2	Distal Colorectal Cancer	2001	8	2.0	128	6381699	22179956
2	Distal Colorectal Cancer	2001	9	3.4	220	6406429	22479229
2	Distal Colorectal Cancer	2001	10	7.2	411	5741721	19805793
2	Distal Colorectal Cancer	2001	11	12.3	630	5125958	17224359
2	Distal Colorectal Cancer	2001	12	19.3	729	3770621	13307234
2	Distal Colorectal Cancer	2001	13	28.1	819	2914101	10654272
2	Distal Colorectal Cancer	2001	14	38.6	946	2448484	9409940
2	Distal Colorectal Cancer	2001	15	47.0	1053	2241129	8725574
2	Distal Colorectal Cancer	2001	16	57.8	1108	1915556	7414559
2	Distal Colorectal Cancer	2001	17	60.5	798	1318613	4900234
2	Distal Colorectal Cancer	2001	18	55.5	607	1093854	4259173
2	Distal Colorectal Cancer	2002	0	0.0	0	1155177	3794901
2	Distal Colorectal Cancer	2002	1	0.0	0	4501200	15191619
2	Distal Colorectal Cancer	2002	2	0.0	0	5817114	19919840
2	Distal Colorectal Cancer	2002	3	0.0	2	6150915	20056779
2	Distal Colorectal Cancer	2002	4	0.0	0	5770911	19819518
2	Distal Colorectal Cancer	2002	5	0.1	8	5762504	18257225
2	Distal Colorectal Cancer	2002	6	0.5	26	5471944	17722067
2	Distal Colorectal Cancer	2002	7	0.8	47	6047363	19511370
2	Distal Colorectal Cancer	2002	8	2.1	134	6261179	22179956
2	Distal Colorectal Cancer	2002	9	3.9	249	6439153	22479229
2	Distal Colorectal Cancer	2002	10	6.8	402	5903564	19805793
